property_type,state,lat,lon,area_m2,price_usd
House,Yucatán,21.072905,-89.65963,266.0,111721.83
House,Nuevo León,25.6318511,-100.170963,204.0,51644.99
APARTMENT,Jalisco###,20.649012,-103.448288,88.0,82875.83
House,Yucatán,21.030668,-89.599258,175.0,120944.15
House,Zacatecas,23.634501,-102.552788,170.0,89567.02
APARTMENT,Estado de México,19.559799,-99.233795,60.0,34599.16
House,Yucatán,21.072905,-89.65963,127.0,47417.83
House,Puebla,19.044477,-98.328011,326.0,326733.66
House,Veracruz de Ignacio de la Llave,25.572505,-103.425036,330.0,121178.91
House,Jalisco,20.788616,-103.435217,156.0,123813.23
APARTMENT,Nuevo León###,25.6526883,-100.4122654,101.0,160866.42
House,Nuevo León,25.680067,-100.458626,336.0,142253.5
House,Estado de México,19.305643,-98.901535,120.0,42159.18
House,Estado de México,19.684991,-99.225298,60.0,37670.83
House,Yucatán,21.008295,-89.591019,282.0,123052.11
House,Puebla,23.634501,-102.552788,156.0,94835.67
House,San Luis Potosí,22.1387477,-101.0181525,200.0,97469.99
House,Estado de México,19.428043,-99.227384,309.0,306529.96
House,Hidalgo,20.059217,-98.790423,200.0,136984.85
House,Yucatán,21.292982,-89.603973,100.0,139652.29
House,Morelos,18.903454,-99.056687,145.0,89567.02
House,Distrito Federal,19.411699,-99.166247,120.0,230874.8
House,Morelos,18.89179165,-99.22272205,183.0,147557.13
House,Yucatán,21.0424858,-89.5568382,107.0,50579.02
APARTMENT,Querétaro,20.711874,-100.448934,140.0,102211.77
House,Estado de México,19.234822,-99.559659,115.0,105372.96
House,Estado de México,19.558449,-99.22973,180.0,67965.56
House,Chihuahua,28.652079,-106.109581,227.0,110641.61
House,Nuevo León,25.707024,-100.21376,250.0,110667.85
House,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165.0,60589.45
House,Hidalgo,20.05687984,-98.76537555,200.0,68508.67
House,Nuevo León,25.634661,-100.295769,242.0,76413.51
House,Distrito Federal,19.360526,-99.301674,220.0,87703.06
House,Puebla,19.01195,-98.219383,385.0,237089.17
APARTMENT,Yucatán,21.2929822,-89.6039725,255.0,236144.12
House,Morelos,18.93409,-99.254997,218.0,143530.93
House,Yucatán,20.996355,-89.583946,201.0,92223.21
House,Puebla,18.983141,-98.265739,135.0,42149.18
House,Estado de México,19.2826098,-99.6556653,4500.0,56387.9
House,Tamaulipas,22.4107891,-97.9342897,176.0,60603.82
House,Tabasco,18.263374,-93.179222,104.0,39514.86
House,Yucatán###,21.039522,-89.563911,174.0,65858.1
House,Sinaloa,23.240411,-106.432565,189.0,63118.4
APARTMENT,Distrito Federal,19.452331,-99.177162,90.0,73234.21
House,Quintana Roo,21.129547,-86.817017,275.0,173865.39
House,Nuevo León,25.702822,-100.304192,148.0,94594.66
House,Veracruz de Ignacio de la Llave,19.563358,-96.939697,110.0,39524.23
House,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130.0,84298.37
House,Yucatán,21.0424858,-89.5568382,185.0,76677.01
House,Querétaro,20.726007,-100.442642,273.0,181811.47
House,San Luis Potosí,23.634501,-102.552788,187.0,94308.8
House,Distrito Federal,19.395069,-99.204927,110.0,84825.23
APARTMENT,Distrito Federal,19.400004,-99.16735,94.0,217911.29
House,Tabasco,17.979631,-92.965249,100.0,65858.1
House,Yucatán,21.006756,-89.570984,162.0,76413.51
House,Chiapas,19.671066,-101.213341,175.0,92201.34
House,Nuevo León,25.7418083,-100.4057781,211.0,124501.99
House,Yucatán,20.968147,-89.629875,123.0,41095.45
House,Jalisco,20.767952,-103.40899,148.0,96363.57
House,Morelos,18.795519,-99.231445,150.0,67438.69
APARTMENT,Distrito Federal,19.449392,-99.138544,70.0,42676.05
APARTMENT,Quintana Roo###,21.15640821,-86.84881411,95.0,68508.67
House,Tamaulipas,22.3160889,-97.8884841,165.0,76940.5
APARTMENT,Distrito Federal###,19.486255,-99.214043,65.0,46890.97
House,Yucatán,21.035221,-89.635757,204.0,93781.94
House,Querétaro,20.726007,-100.442642,180.0,109324.45
House,Sinaloa,23.261934,-106.408936,124.0,67702.13
APARTMENT,Distrito Federal,19.366505,-99.222297,72.0,64281.19
House,Querétaro,20.6521079,-100.3491545,250.0,144922.18
APARTMENT,Distrito Federal,19.354947,-99.087529,65.0,37386.32
House,Querétaro,20.6476044,-100.35253,150.0,104319.23
House,Yucatán,21.030668,-89.599258,305.0,184182.92
House,Distrito Federal,19.371317,-99.140957,300.0,123981.3
APARTMENT,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105.0,50064.02
APARTMENT,Distrito Federal,19.377169,-99.187643,90.0,56514.99
APARTMENT,Distrito Federal,19.381591,-99.165397,124.0,270872.74
House,Yucatán,21.039522,-89.563911,230.0,92223.21
House,Estado de México,19.27223,-99.575691,300.0,184446.42
APARTMENT,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70.0,62448.28
House,San Luis Potosí,22.121187,-100.951736,154.0,57968.87
House,Estado de México,19.4653884,-99.5940417,70.0,39524.23
House,Morelos,18.8493694,-98.9479805,250.0,84298.37
House,Yucatán,21.05294348,-89.66792107,141.0,62975.27
House,Guerrero,16.808875,-99.821739,104.0,102738.64
APARTMENT,Estado de México,19.531773,-99.245873,174.0,326656.19
House,Tamaulipas,25.860595,-97.504808,212.0,71126.75
House,Morelos,18.882006,-99.148384,240.0,100104.31
APARTMENT,Puebla,19.002178,-98.271063,87.0,173986.78
House,Estado de México,19.425918,-99.230123,300.0,215222.62
House,Puebla,18.984862,-98.222234,289.0,226551.88
House,Distrito Federal,19.399375,-99.149986,95.0,246994.23
House,Baja California,32.5622552,-115.3169575,75.0,42149.18
APARTMENT,Distrito Federal,19.452689,-99.117987,60.0,36269.27
House,Distrito Federal,19.336104,-99.101761,70.0,50087.3
House,Zacatecas,23.634501,-102.552788,6900.0,63223.78
APARTMENT,Distrito Federal,19.3987957,-99.1594498,110.0,274034.68
House,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140.0,39514.86
House,Tamaulipas,22.2695545,-97.8750355,140.0,71301.71
House,Estado de México,19.3308425,-99.5817205,140.0,121207.64
House,Estado de México,19.2398293,-99.617673,332.0,242415.29
House,Estado de México,19.4689569,-99.2727792,372.0,144887.83
House,Morelos,18.917542,-98.963181,200.0,131747.44
House,Tabasco,17.97280546,-92.95154875,134.0,104343.97
House,Nuevo León,25.79255,-100.274638,159.0,74972.86
APARTMENT,Distrito Federal,19.3928136,-99.1738213,112.0,312957.71
House,Sinaloa,24.804811,-107.46476,95.0,47417.83
House,Aguascalientes,21.905983,-102.286817,157.0,41622.32
House,Morelos,18.900945,-99.232574,279.0,142253.5
House,Tamaulipas,22.2900902,-97.8437788,75.0,34254.33
APARTMENT,Distrito Federal,19.375374,-99.137657,80.0,34077.61
APARTMENT,Puebla,19.02065826,-98.22384596,100.0,103606.19
House,Yucatán,20.96083848,-89.62156874,160.0,52159.61
APARTMENT,Distrito Federal,19.409369,-99.171906,83.0,263494.89
House,Nuevo León,25.712547,-100.249496,210.0,83000.89
House,Puebla,19.09276402,-98.22678055,5000.0,51644.99
House,Jalisco,20.792152,-103.475021,104.0,39514.86
House,Guanajuato,21.121012,-101.600136,207.0,121207.64
House,San Luis Potosí,22.18307725,-101.0302325,92.0,34781.32
APARTMENT,Distrito Federal,19.404032,-99.179694,103.0,209902.95
House,Morelos,18.814863,-99.211439,97.0,68492.42
APARTMENT,Distrito Federal,19.368544,-99.163605,105.0,284507.01
House,Puebla,19.0550344,-98.2731403,330.0,189716.32
House,Estado de México,19.699144,-98.978363,180.0,68492.42
APARTMENT,Distrito Federal,19.341894,-99.224525,96.0,156958.3
House,Querétaro,20.596285,-100.357695,300.0,144887.83
House,Puebla,19.0217424,-98.2604216,215.0,155461.98
House,Chiapas,19.987465,-102.284888,330.0,210745.93
House,Morelos,18.845494,-99.20547,136.0,71765.83
APARTMENT,Distrito Federal,19.366901,-99.297272,65.0,109387.67
House,San Luis Potosí,22.18408015,-101.0286072,110.0,39830.98
House,Estado de México,19.615452,-99.206348,70.0,47681.26
House,Distrito Federal,19.473907,-99.177444,320.0,91042.24
House,San Luis Potosí,22.149093,-100.889863,180.0,45321.12
House,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168.0,94835.67
House,Querétaro,20.606224,-100.329168,165.0,97469.99
House,Yucatán,21.001256,-89.600723,325.0,183296.27
APARTMENT,Nuevo León,25.7302897,-100.3965403,160.0,104497.22
House,Puebla,19.004742,-98.235992,180.0,63223.78
House,Morelos,18.916586,-99.214371,272.0,262967.9
House,Puebla,19.063091,-98.296013,252.0,130873.22
APARTMENT,Distrito Federal,19.371321,-99.140985,84.0,93465.82
House,Yucatán,21.039522,-89.563911,178.0,60076.83
APARTMENT,Distrito Federal,19.465454,-99.162665,69.0,75375.18
House,Jalisco,20.700756,-103.333385,300.0,94308.8
House,Querétaro,20.549404,-100.378563,110.0,76395.4
House,Puebla,18.985191,-98.186447,148.0,105372.96
APARTMENT,Jalisco,20.67603,-103.425418,125.0,157479.9
House,Nayarit,21.525436,-104.923553,115.0,47429.08
APARTMENT,Chiapas,16.748743,-93.066491,73.0,43202.91
APARTMENT,Distrito Federal,19.432657,-99.177444,7500.0,135085.08
House,Estado de México,19.72876,-99.461708,236.0,237145.4
House,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230.0,44783.51
House,Morelos,18.804197,-98.932816,117.0,65858.1
APARTMENT,San Luis Potosí,22.133104,-100.982117,100.0,53740.21
APARTMENT,Distrito Federal,19.400249,-99.177444,150.0,273969.71
House,Yucatán,21.03071,-89.618103,382.0,223970.65
House,Jalisco###,20.649154,-105.202538,90.0,33719.34
House,Baja California,32.426032,-117.033916,140.0,62570.46
House,Tamaulipas,26.058614,-98.322969,252.0,66933.76
House,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189.0,64277.51
House,Tamaulipas,22.238298,-97.841892,200.0,110641.61
House,Puebla###,19.046561,-98.190349,110.0,100735.92
APARTMENT,Distrito Federal,19.451872,-99.173522,70.0,66911.83
House,Estado de México,19.253367,-99.606303,260.0,324021.87
House,Sonora,29.0287123,-110.97103,200.0,47417.83
APARTMENT,Distrito Federal,19.45569471,-99.16357613,76.0,121355.2
APARTMENT,Distrito Federal,19.336195,-99.23692,100.0,74920.17
House,San Luis Potosí,22.1564699,-100.9855409,110.0,39524.23
House,Yucatán,21.0634817,-89.6110378,296.0,137017.34
House,Yucatán,21.135925,-89.6446768,200.0,79029.72
House,Querétaro,20.547818,-100.407691,80.0,51632.75
House,Morelos,18.882725,-99.163605,112.0,86953.31
House,Tabasco,17.97423,-92.923836,60.0,34246.21
House,Chiapas,16.740764,-93.089951,148.0,84298.37
House,Distrito Federal,19.469688,-99.085456,248.0,176541.57
APARTMENT,Distrito Federal,19.27112369,-99.20883894,72.0,40645.77
House,Chiapas,16.76764,-93.178283,250.0,173865.39
House,Yucatán,20.9673702,-89.5925857,290.0,123315.6
House,Yucatán,21.017197,-89.574516,158.0,102763.0
House,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220.0,99577.45
House,Distrito Federal,19.355938,-99.129918,200.0,315618.38
House,Yucatán,20.938659,-89.615316,8650.0,50052.15
House,Tamaulipas,22.270658,-97.849037,263.0,176541.57
House,Estado de México,19.64079,-99.098691,105.0,68492.42
APARTMENT,Puebla,19.011347,-98.246264,139.0,179134.04
House,Jalisco,20.647029,-103.454953,122.0,77975.99
House,Querétaro,20.705742,-100.444016,350.0,184446.42
House,Estado de México,19.54323,-99.222374,181.0,154950.94
House,Distrito Federal,19.373264,-99.104161,250.0,135430.6
APARTMENT,Distrito Federal,19.383952,-99.160229,100.0,174140.42
House,Chiapas,16.757278,-93.134056,298.0,181084.17
House,Tamaulipas,22.320061,-97.86808,67.0,35835.3
House,Estado de México,19.5896123,-99.2907617,60.0,34254.33
House,Baja California Sur,24.083153,-110.303329,65.0,33358.45
House,Veracruz de Ignacio de la Llave,19.144342,-96.139002,140.0,68492.42
House,Hidalgo,20.1010608,-98.7591311,320.0,192305.66
House,Veracruz de Ignacio de la Llave,18.1495449,-94.5140773,104.0,57955.13
APARTMENT,Distrito Federal,19.333901,-99.240356,85.0,179134.04
APARTMENT,Distrito Federal###,19.390031,-99.174182,108.0,209692.2
APARTMENT,Distrito Federal,19.365834,-99.263505,126.0,180187.77
House,Yucatán,20.9637793,-89.6612548,249.0,44783.51
APARTMENT,Estado de México,19.404701,-99.292419,300.0,284047.49
House,Veracruz de Ignacio de la Llave,18.879525,-96.921847,123.0,55320.8
House,Puebla,18.978682,-98.250015,162.0,88513.29
House,Querétaro,20.6205869,-100.388042,322.0,209955.63
APARTMENT,Nuevo León,25.654263,-100.297874,114.0,55333.92
House,Estado de México,19.180459,-99.590174,175.0,134382.39
APARTMENT,Durango,24.010702,-104.613602,88.0,43213.16
APARTMENT,Distrito Federal,19.474655,-99.189277,3000.0,40041.72
APARTMENT,Querétaro,20.65449,-100.384446,160.0,250320.14
House,Veracruz de Ignacio de la Llave###,25.569556,-103.383702,244.0,101158.04
House,Morelos,18.813505,-98.953514,66.0,34246.21
APARTMENT,Tabasco,17.972448,-92.960579,104.0,57968.87
House,Veracruz de Ignacio de la Llave,19.165146,-96.160652,220.0,139619.18
APARTMENT,Distrito Federal,19.3499358,-99.2906864,78.0,147557.13
House,Morelos,18.948109,-99.26886,200.0,155461.98
House,Querétaro,20.5887932,-100.3898881,334.0,279238.36
APARTMENT,Distrito Federal,19.406592,-99.155442,90.0,224660.17
House,Distrito Federal,19.318989,-99.094437,100.0,98523.72
House,Querétaro,20.712143,-100.454275,230.0,152790.8
House,Yucatán,21.01429,-89.605148,280.0,144922.18
House,Veracruz de Ignacio de la Llave,19.173773,-96.1342241,160.0,52686.48
House,Veracruz de Ignacio de la Llave,19.139896,-96.109911,163.0,68492.42
House,Tamaulipas,22.270658,-97.849037,93.0,65873.72
APARTMENT,Querétaro,20.5887932,-100.3898881,178.0,316118.9
House,Veracruz de Ignacio de la Llave,19.142568,-96.125389,214.0,92728.21
House,Morelos,18.970675,-99.288261,333.0,156742.28
House,Quintana Roo,20.65593,-87.05368,210.0,225024.63
House,Baja California Sur,24.143626,-110.336274,180.0,226551.88
APARTMENT,Veracruz de Ignacio de la Llave,19.125867,-96.106026,189.0,279238.36
House,Chihuahua,23.634501,-102.552788,200.0,42149.18
House,Jalisco,20.6081525,-103.3946675,150.0,43993.21
House,Morelos,18.927336,-99.213448,145.0,121178.91
House,Veracruz de Ignacio de la Llave,25.439677,-100.946717,172.0,90589.54
APARTMENT,Distrito Federal,19.472481,-99.182374,75.0,80635.87
House,Distrito Federal,19.325355,-99.232561,136.0,306635.33
House,Yucatán,21.072905,-89.65963,250.0,110641.61
House,San Luis Potosí,22.14691,-101.038651,245.0,144922.18
House,Morelos,18.879347,-99.179871,184.0,136984.85
House,Tabasco,18.03410232,-92.98419938,161.0,125950.55
House,Puebla,18.921051,-98.417053,116.0,91463.73
House,Puebla,19.014643,-98.170731,140.0,89588.26
House,Morelos,18.858107,-99.200287,78.0,34246.21
House,Morelos,18.945309,-99.22372,380.0,263432.41
House,Yucatán,21.0381057,-89.5933722,213.0,118572.7
APARTMENT,Nuevo León,25.651072,-100.342773,92.0,208160.96
House,Estado de México,19.499864,-99.050138,175.0,100104.31
House,Estado de México,19.555771,-99.248612,200.0,94256.11
House,Nuevo León,25.6769684,-100.4508956,107.0,50052.15
House,San Luis Potosí,22.14700093,-101.0172996,160.0,109587.88
House,Guerrero,16.867283,-99.867119,150.0,139619.18
APARTMENT,Yucatán,21.017197,-89.574516,66.0,83771.5
House,Hidalgo,20.06499132,-98.76800179,100.0,57955.13
House,Tamaulipas,22.266645,-97.870796,296.0,210745.93
House,Estado de México,18.948179,-99.482277,170.0,131716.2
APARTMENT,Yucatán,21.3421022,-89.2624626,202.0,210743.21
House,Puebla,19.044477,-98.328011,235.0,168636.73
House,Distrito Federal,19.2826778,-99.2090757,161.0,144887.83
APARTMENT,Distrito Federal,19.48888,-99.179278,70.0,51393.55
House,Chiapas,16.732222,-93.135307,240.0,131716.2
House,Veracruz de Ignacio de la Llave,23.634501,-102.552788,205.0,78766.29
House,Estado de México,19.6850991,-99.2113669,62.0,37943.26
House,Morelos,18.9212022,-99.1739857,125.0,62184.79
APARTMENT,Puebla,18.96785528,-98.28487086,127.0,176979.24
House,Nuevo León,25.723516,-100.393311,365.0,242415.29
House,Yucatán,21.0151423,-89.6551671,180.0,68245.17
APARTMENT,Distrito Federal,19.364891,-99.148384,62.0,84318.36
APARTMENT,Distrito Federal,19.426528,-99.196279,60.0,218648.9
APARTMENT,Estado de México,19.369319,-99.293444,150.0,128098.38
APARTMENT,Chiapas,16.745249,-93.152699,73.0,43202.91
APARTMENT,Distrito Federal,19.449392,-99.138544,65.0,42676.05
House,Querétaro,20.607178,-100.335754,104.0,77975.99
House,San Luis Potosí,22.16483221,-100.976522,125.0,51644.99
House,San Luis Potosí,22.16644588,-100.9547921,140.0,51644.99
House,Chiapas,16.771928,-93.105578,200.0,110667.85
House,Tamaulipas,22.246319,-97.86264,163.0,113302.8
House,Tlaxcala,19.312792,-98.216515,159.0,79029.72
House,Yucatán,21.039522,-89.563911,186.0,99577.45
House,Puebla,19.11055714,-98.28005165,120.0,65858.1
House,Estado de México,19.64443,-99.098587,75.0,37943.26
House,Veracruz de Ignacio de la Llave,25.502705,-103.408554,190.0,42969.88
House,Veracruz de Ignacio de la Llave,25.461545,-100.883958,170.0,124340.1
APARTMENT,Distrito Federal,19.478815,-99.196831,64.0,76395.4
House,Querétaro,20.611304,-100.386343,360.0,268701.06
House,Sonora,29.07683,-110.9871743,309.0,189716.32
APARTMENT,Guerrero,23.634501,-102.552788,178.0,237145.4
House,Yucatán,21.039522,-89.563911,215.0,98656.43
House,Nuevo León,25.74317303,-100.3723396,138.0,53225.96
APARTMENT,Morelos,18.97019398,-99.24238533,117.0,123813.23
House,Aguascalientes,21.88930425,-102.2563045,198.0,41105.2
APARTMENT,Distrito Federal,19.298168,-99.113106,83.0,177695.7
House,Nuevo León,25.67382016,-100.3135947,120.0,79048.46
House,Morelos,18.942068,-99.242531,200.0,184446.42
House,Veracruz de Ignacio de la Llave,25.558393,-103.385429,113.0,44941.57
House,Sinaloa,23.283125,-106.406723,9600.0,47417.83
House,Morelos,18.936026,-99.216217,286.0,209692.2
House,Distrito Federal,19.328833,-99.133163,140.0,123813.23
House,Distrito Federal,19.455385,-99.209835,216.0,84318.36
House,Puebla,19.071239,-98.273949,240.0,126447.56
House,Estado de México,19.501955,-99.226952,196.0,226551.88
House,Morelos,18.866121,-99.231445,180.0,147522.15
House,Querétaro,20.726007,-100.442642,330.0,194986.21
House,Yucatán,21.075163,-89.516731,192.0,92542.77
House,Tlaxcala,19.435802,-98.10286,135.0,41095.45
House,Yucatán,20.9731555,-89.6229189,250.0,84318.36
House,Estado de México,19.159458,-99.565956,79.0,37943.26
House,Puebla,19.0412967,-98.2061996,109.0,36889.28
House,Sinaloa,24.817956,-107.434033,146.0,64804.37
APARTMENT,Distrito Federal,19.36243,-99.176957,70.0,40568.59
APARTMENT,Distrito Federal,19.390062,-99.192293,64.0,94858.16
House,Nuevo León,25.7581963,-100.2665026,135.0,79029.72
House,Querétaro,20.556261,-100.370035,112.0,90620.75
House,Chiapas,16.744808,-93.179222,350.0,147557.13
APARTMENT,Quintana Roo,21.15007472,-86.83164597,165.0,121178.91
House,Yucatán,21.030668,-89.599258,350.0,221283.23
House,Morelos,18.864874,-98.925911,60.0,34246.21
APARTMENT,Distrito Federal###,19.463009,-99.131106,81.0,102738.64
House,Yucatán,21.30856674,-89.53033447,380.0,210795.91
House,Distrito Federal,19.33427,-99.083374,100.0,68492.42
APARTMENT,Distrito Federal,19.380937,-99.179545,98.0,197146.87
House,Veracruz de Ignacio de la Llave,19.109777,-96.106922,240.0,168596.74
House,Puebla,19.101185,-98.357062,90.0,42149.18
House,Yucatán,21.065001,-89.6239875,155.0,71143.62
House,Querétaro,20.646841,-100.376117,86.0,45310.37
House,Morelos,18.897581,-99.07093,306.0,208160.96
House,Yucatán,21.072905,-89.65963,171.0,94278.47
House,Morelos,18.917542,-98.963181,182.0,97469.99
APARTMENT,Distrito Federal,19.396018,-99.147827,70.0,183989.47
House,Puebla,19.051815,-98.277669,198.0,115910.26
APARTMENT,Distrito Federal,19.309208,-99.171906,70.0,77572.89
House,Yucatán,21.0506531,-89.5588406,16700.0,137017.34
House,Yucatán,21.34379622,-89.26205993,130.0,110404.35
House,Querétaro,20.587378,-100.418361,106.0,56637.97
APARTMENT,Nuevo León,25.721081,-100.345581,72.0,68421.05
House,Morelos,23.634501,-102.552788,360.0,278947.37
APARTMENT,Distrito Federal,19.394558,-99.129707,65.0,39904.74
House,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100.0,35263.16
House,Yucatán,21.0552216,-89.6583682,220.0,112473.68
House,Chihuahua,28.691416,-106.13604,236.0,110526.32
APARTMENT,Jalisco###,20.641428,-103.417295,85.0,88947.37
House,San Luis Potosí,22.126078,-100.944672,131.0,55000.0
House,Puebla,19.03642362,-98.19941841,337.0,163157.89
APARTMENT,Guerrero,16.851935,-99.844955,195.0,105263.16
House,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207.0,144736.84
House,Nuevo León,25.75013289,-100.2701137,280.0,104736.84
APARTMENT,Estado de México,19.536253,-99.240456,99.0,65789.47
House,Chiapas,19.673779,-101.187927,210.0,136842.11
House,Baja California,32.4690603,-116.8196303,111.0,71911.21
House,Yucatán,21.030771,-89.646347,150.0,63157.89
House,Chiapas,16.717077,-93.162903,170.0,94736.84
APARTMENT,Distrito Federal,19.473001,-99.087491,79.0,35841.58
House,Yucatán,21.072905,-89.65963,190.0,97368.42
House,Yucatán,21.075163,-89.516731,300.0,115263.16
House,Guerrero,16.86597275,-99.87171739,300.0,131578.95
House,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232.0,81578.95
House,Yucatán,21.017197,-89.574516,220.0,92105.26
House,Yucatán###,21.0399331,-89.5965747,240.0,99473.68
House,Morelos,18.893921,-99.221429,160.0,150000.0
House,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115.0,57894.74
House,Quintana Roo,21.139086,-86.84964,290.0,118421.05
House,Chiapas,19.681248,-101.209167,180.0,71052.63
APARTMENT,Distrito Federal,19.271467,-99.146309,98.0,130842.11
House,Chiapas,19.724886,-101.118018,120.0,73684.21
House,Estado de México,19.420156,-99.249458,378.0,321052.63
House,Guanajuato,20.684505,-101.406695,280.0,189473.68
House,Distrito Federal,19.289286,-99.158066,140.0,124210.53
House,San Luis Potosí,22.150696,-101.010025,172.0,81052.63
House,Puebla,19.014643,-98.170731,286.0,260526.32
House,Morelos,18.93409,-99.254997,240.0,178947.37
House,Yucatán,21.0315095,-89.600513,325.0,186842.11
APARTMENT,Morelos,18.923538,-99.241848,110.0,57894.74
House,Querétaro,20.681293,-100.329622,155.0,97368.42
House,Morelos,18.821062,-98.949371,120.0,69473.68
House,Morelos,18.862602,-99.213448,145.0,97368.42
APARTMENT,Yucatán,21.018724,-89.589836,60.0,47105.26
House,Jalisco,20.569456,-103.50165,176.0,123684.21
APARTMENT,Distrito Federal,19.3934457,-99.1796926,100.0,279193.58
